,age,handle,revenue,betcount,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
221,23,5.0,0.6,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
222,23,245.0,24.5,6.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
223,23,100.0,10.0,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
224,23,100.0,10.0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
225,23,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
226,23,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
227,23,379.0,37.9,10.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
228,23,114.0,11.4,7.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
229,23,199.0,19.9,4.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
230,23,27.0,2.7,3.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
231,23,102.0,12.24,1.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
232,23,389.0,38.90000000000001,6.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
233,23,157.0,15.7,5.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
234,23,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
235,23,31.0,3.1,6.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
236,23,35.0,3.5,2.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
237,23,43.0,5.16,5.999999999999999,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
238,23,224.0,22.4,6.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
239,23,24.0,2.88,4.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
240,23,18.0,1.8,2.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
241,23,23.0,2.76,4.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
242,23,606.0,60.6,4.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
243,23,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
244,23,200.0,24.0,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
245,23,100.0,10.0,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
246,23,170.0,20.4,9.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
247,23,210.0,25.2,2.0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
248,23,13.0,1.56,3.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
249,23,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
250,23,206.0,20.6,6.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
251,23,40.0,4.0,2.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
252,23,13.999999999999998,1.6799999999999995,2.9999999999999987,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
253,23,40.0,4.0,2.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
254,23,17.0,1.7000000000000002,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
255,23,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
256,23,320.0,32.0,23.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
257,23,20.0,2.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
258,23,31.74999999999999,3.809999999999999,5.999999999999999,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
259,23,5.0,0.5,1.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
