age,handle,revenue,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
29,20.0,0.6,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
26,12.0,0.96,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
38,9.0,0.27,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
33,206.0,24.72,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
65,6.0,0.18,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
50,4.0,0.28,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
41,205.0,6.15,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
36,5.0,0.15,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
22,5.0,0.4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
42,2.0,0.22,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
50,336.0,40.32,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
62,205.0,14.35,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
49,205.0,6.15,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
30,2.0,0.14,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
42,5.0,0.6,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
19,5.0,0.15,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40,45.0,4.95,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
22,31.0,3.41,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
59,5.0,0.55,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
42,8.0,0.24,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
43,5.0,0.35000000000000003,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
50,40.0,2.8000000000000003,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
19,70.0,7.7,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
28,67.0,2.01,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
54,16.0,1.92,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
62,5.0,0.15,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
18,105.0,10.5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
56,158.0,4.74,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
26,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
19,54.0,5.94,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
39,1207.0,36.21,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
23,205.0,6.15,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
25,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
30,200.0,16.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
27,7.0,0.21,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
32,69.0,4.83,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
61,4.0,0.28,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
44,15.999999999999998,1.7599999999999998,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
60,25.0,2.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
26,222.00000000000009,24.42000000000001,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
51,15.0,1.7999999999999998,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
19,100.0,3.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
47,778.0,54.46000000000001,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
59,98.0,2.94,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
37,100.0,8.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
28,10.0,0.8,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
42,12.0,0.8400000000000001,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
55,11.0,0.88,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
24,7.0,0.77,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
66,3.0,0.09,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0
26,205.0,6.15,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
